Gender Rank,Occupation,Gender,Individuals,Average Taxable Income $,,,,
593,Baggage handler - bus or train; Baggage handler - freight -  roal or rail; Freight handler - road or rail,Female,188.00,46699.00,,,,
655,Baggage handler - bus or train; Baggage handler - freight -  roal or rail; Freight handler - road or rail,Male,2278.00,53914.00,,,,
1019,Baggage handler - hotel or motel; Door attendant; Luggage porter,Female,548.00,26162.00,,,,
938,Baggage handler - hotel or motel; Door attendant; Luggage porter,Male,1729.00,36487.00,,,,
799,Baker,Female,2341.00,36042.00,,,,
815,Baker,Male,11367.00,45165.00,,,,
996,Bakery assistant; Pastry cook's assistant,Female,6706.00,27737.00,,,,
1031,Bakery assistant; Pastry cook's assistant,Male,2720.00,29767.00,,,,
822,Baking factory worker,Female,2002.00,34903.00,,,,
888,Baking factory worker,Male,1971.00,40404.00,,,,
902,Ballet teacher; Dance teacher - private,Female,2097.00,32056.00,,,,
931,Ballet teacher; Dance teacher - private,Male,249.00,37178.00,,,,
604,Band member; Drummer; Guitarist; Musician - instrumentalist; Organist; Pianist,Female,798.00,45752.00,,,,
725,Band member; Drummer; Guitarist; Musician - instrumentalist; Organist; Pianist,Male,1193.00,49620.00,,,,
468,"Bank employee; Bank officer; Bank teller; Business development officer - bank, etc.; Credit union employee",Female,50140.00,52668.00,,,,
183,"Bank employee; Bank officer; Bank teller; Business development officer - bank, etc.; Credit union employee",Male,21425.00,96812.00,,,,
71,Bank manager; Financial institution branch manager,Female,8517.00,99447.00,,,,
60,Bank manager; Financial institution branch manager,Male,12166.00,151095.00,,,,
993,Bar useful or busser,Female,1302.00,27850.00,,,,
1083,Bar useful or busser,Male,1369.00,24913.00,,,,
943,Barber; Hairdresser; Ladies' hairdresser; Men's hairdresser,Female,30011.00,30323.00,,,,
906,Barber; Hairdresser; Ladies' hairdresser; Men's hairdresser,Male,3873.00,39030.00,,,,
1063,Barista,Female,15588.00,23240.00,,,,
1080,Barista,Male,7248.00,25229.00,,,,
360,Barrister,Female,777.00,59436.00,,,,
53,Barrister,Male,797.00,168766.00,,,,
1000,Bartender,Female,33993.00,27450.00,,,,
1035,Bartender,Male,29291.00,29511.00,,,,
575,Basketballer,Female,54.00,47246.00,,,,
840,Basketballer,Male,129.00,43191.00,,,,
956,Beautician; Beauty therapist; Manicurist,Female,16399.00,29682.00,,,,
1036,Beautician; Beauty therapist; Manicurist,Male,252.00,29510.00,,,,
1064,Beauty salon assistant; Hair salon assistant,Female,2893.00,23085.00,,,,
1074,Beauty salon assistant; Hair salon assistant,Male,218.00,25628.00,,,,
704,Beauty salon manager; Hair salon manager,Female,2534.00,40826.00,,,,
733,Beauty salon manager; Hair salon manager,Male,458.00,49005.00,,,,
1080,Bed and breakfast owner operator,Female,20.00,20842.00,,,,
1088,Bed and breakfast owner operator,Male,18.00,23990.00,,,,
757,Bedding and mattress maker; Furniture upholsterer; Upholsterer,Female,242.00,38370.00,,,,
837,Bedding and mattress maker; Furniture upholsterer; Upholsterer,Male,1716.00,43652.00,,,,
1014,Beef cattle farm worker; Drover - beef cattle; Jackeroo - beef cattle; Jillaroo - beef cattle; Stationhand - beef cattle,Female,2027.00,26346.00,,,,
976,Beef cattle farm worker; Drover - beef cattle; Jackeroo - beef cattle; Jillaroo - beef cattle; Stationhand - beef cattle,Male,4974.00,34165.00,,,,
722,Beef cattle farmer or farm overseer,Female,511.00,39850.00,,,,
758,Beef cattle farmer or farm overseer,Male,2380.00,47882.00,,,,
404,Betting agency manager,Female,93.00,56833.00,,,,
256,Betting agency manager,Male,173.00,85803.00,,,,
1084,Bicycle mechanic,Female,24.00,19735.00,,,,
965,Bicycle mechanic,Male,1028.00,35003.00,,,,
930,Bingo caller; Keno terminal operator,Female,147.00,31065.00,,,,
566,Bingo caller; Keno terminal operator,Male,48.00,60292.00,,,,
238,Biochemist,Female,1164.00,67389.00,,,,
248,Biochemist,Male,978.00,86974.00,,,,
336,Biologist; Life scientist,Female,3365.00,60428.00,,,,
343,Biologist; Life scientist,Male,2546.00,77036.00,,,,
309,Biomedical engineer,Female,242.00,61709.00,,,,
339,Biomedical engineer,Male,884.00,77218.00,,,,
186,Biophysicist,Female,27.00,73363.00,,,,
257,Biophysicist,Male,107.00,85653.00,,,,
294,Biotechnologist,Female,561.00,62905.00,,,,
298,Biotechnologist,Male,509.00,81466.00,,,,
649,Blacksmith,Female,3.00,43252.00,,,,
676,Blacksmith,Male,125.00,52485.00,,,,
1013,Boarding kennel or cattery operator,Female,361.00,26388.00,,,,
885,Boarding kennel or cattery operator,Male,126.00,40571.00,,,,
